,Press,Title,Link
167,채널A,세브란스병원 ‘무기한 휴진’ 결정…27일부터 시작,https://n.news.naver.com/article/449/0000277309?ntype=RANKING
168,강원일보,"""공사장에서 나는 폭발음인 줄""…전북 부안 남남서쪽서 규모 4.8 지진",https://n.news.naver.com/article/087/0001049709?ntype=RANKING
169,강원일보,"철원 동송읍 양지리 마을길에서 수류탄 발견…軍, 긴급 출동해 수거",https://n.news.naver.com/article/087/0001049755?ntype=RANKING
170,강원일보,"[속보]""군기훈련 사망 훈련병 사인은 패혈성 쇼크에 따른 다발성 장기부전""",https://n.news.naver.com/article/087/0001049787?ntype=RANKING
171,강원일보,"'北 오물풍선'에 차 앞유리창 박살…보험사 ""본인 일부부담·1년 할인유예""",https://n.news.naver.com/article/087/0001049733?ntype=RANKING
172,강원일보,"[속보]권익위, ""김건희 여사 명품백 대통령기록물 적용돼도 신고 의무 없어…처벌 규정 없다고 판단""",https://n.news.naver.com/article/087/0001049807?ntype=RANKING
173,코메디닷컴,"""코가 뭉개졌다"" 코에 계속 염증...의사 '괜찮다'했는데 희귀질환, 무슨 병?",https://n.news.naver.com/article/296/0000078789?ntype=RANKING
174,코메디닷컴,"""펜뚜껑도? 별것 다 들어갔네""...귀에서 빼낸 기이한 10가지",https://n.news.naver.com/article/296/0000078782?ntype=RANKING
175,코메디닷컴,"“48세 맞아?” 유지연, 깐달걀 피부... ‘이 성분’이 비결?",https://n.news.naver.com/article/296/0000078753?ntype=RANKING
176,코메디닷컴,"식후 유독 졸리고 피곤하다면?...‘이 문제’ 가능성 높아, 해결법은?",https://n.news.naver.com/article/296/0000078776?ntype=RANKING
177,코메디닷컴,‘단백질 파우더’ 먹으면 진짜 살 찔까?... 주의해야 할 섭취 방법 3,https://n.news.naver.com/article/296/0000078772?ntype=RANKING
178,머니투데이,꽃 한송이 꺾은 치매 할머니…합의금 35만원 요구한 관리사무소,https://n.news.naver.com/article/008/0005049552?ntype=RANKING
179,머니투데이,"[단독]""105층→55층 안돼"" 백지화 초강수…서울시-현대차 이번주 만난다",https://n.news.naver.com/article/008/0005049483?ntype=RANKING
180,머니투데이,"""죄송""…실려가던 '얼차려 사망' 훈련병, 잠시 의식 찾았을 때 한 말",https://n.news.naver.com/article/008/0005049683?ntype=RANKING
181,머니투데이,"관리실 앞에 택배 '수북'…뿔난 기사 ""직접 찾아가라"", 무슨 일?",https://n.news.naver.com/article/008/0005049617?ntype=RANKING
